Real Madrid vs. Barcelona, Madrid, Santiago Bernabéu Stadium, 20/08/2023, 18:00
Bayern Munich vs. Arsenal, Munich, Allianz Arena, 15/09/2023, 18:30
Barcelona vs. Tottenham Hotspur, Barcelona, Camp Nou, 16/09/2023, 21:00
Chelsea vs. Manchester City, London, Stamford Bridge, 17/09/2023, 18:00
Manchester United vs. Liverpool, Manchester, Old Trafford, 18/09/2023, 19:45
Real Madrid vs. Liverpool, Madrid, Santiago Bernabéu Stadium, 19/09/2023, 20:00
Barcelona vs. AC Milan, Barcelona, Camp Nou, 20/09/2023, 18:30
Manchester United vs. Bayern Munich, Manchester, Old Trafford, 21/09/2023, 19:15
Arsenal vs. Paris Saint-Germain, London, Emirates Stadium, 22/09/2023, 20:30
Tottenham Hotspur vs. Chelsea, London, Tottenham Hotspur Stadium, 23/09/2023, 19:45
Napoli vs. Juventus, Naples, Stadio Diego Armando Maradona, 24/09/2023, 20:00
Inter Milan vs. Borussia Dortmund, Milan, San Siro, 25/09/2023, 18:30
Bayern Munich vs. Paris Saint-Germain, Munich, Allianz Arena, 26/09/2023, 19:00
Manchester City vs. Real Madrid, Manchester, Etihad Stadium, 27/09/2023, 18:45
Liverpool vs. Barcelona, Liverpool, Anfield, 28/09/2023, 19:30
Chelsea vs. Arsenal, London, Stamford Bridge, 29/09/2023, 21:00
Juventus vs. Tottenham Hotspur, Turin, Allianz Stadium, 30/09/2023, 20:15
Paris Saint-Germain vs. Inter Milan, Paris, Parc des Princes, 01/10/2023, 18:30
Real Madrid vs. Bayern Munich, Madrid, Santiago Bernabéu Stadium, 02/10/2023, 19:15
AC Milan vs. Chelsea, Milan, San Siro, 03/10/2023, 19:45
Barcelona vs. Napoli, Barcelona, Camp Nou, 04/10/2023, 20:30
Manchester United vs. Borussia Dortmund, Manchester, Old Trafford, 05/10/2023, 18:45
Arsenal vs. Liverpool, London, Emirates Stadium, 06/10/2023, 19:30
Tottenham Hotspur vs. Paris Saint-Germain, London, Tottenham Hotspur Stadium, 07/10/2023, 20:00
Inter Milan vs. Real Madrid, Milan, San Siro, 08/10/2023, 21:00
Bayern Munich vs. Chelsea, Munich, Allianz Arena, 09/10/2023, 18:00
Napoli vs. Manchester City, Naples, Stadio Diego Armando Maradona, 10/10/2023, 18:30
Manchester United vs. AC Milan, Manchester, Old Trafford, 11/10/2023, 19:15
Juventus vs. Paris Saint-Germain, Turin, Allianz Stadium, 12/10/2023, 19:45
Liverpool vs. Bayern Munich, Liverpool, Anfield, 13/10/2023, 20:30
Barcelona vs. Borussia Dortmund, Barcelona, Camp Nou, 14/10/2023, 19:00
Real Madrid vs. Arsenal, Madrid, Santiago Bernabéu Stadium, 15/10/2023, 20:00
Manchester City vs. Chelsea, Manchester, Etihad Stadium, 16/10/2023, 18:30
Tottenham Hotspur vs. Juventus, London, Tottenham Hotspur Stadium, 17/10/2023, 19:15
Inter Milan vs. Napoli, Milan, San Siro, 18/10/2023, 19:45
Liverpool vs. Manchester City, Liverpool, Anfield, 19/10/2023, 20:15
Chelsea vs. Real Madrid, London, Stamford Bridge, 20/10/2023, 18:45
Bayern Munich vs. Borussia Dortmund, Munich, Allianz Arena, 21/10/2023, 19:30
Barcelona vs. Juventus, Barcelona, Camp Nou, 22/10/2023, 20:00
Arsenal vs. Paris Saint-Germain, London, Emirates Stadium, 23/10/2023, 18:30
Napoli vs. Inter Milan, Naples, Stadio Diego Armando Maradona, 24/10/2023, 19:15
Manchester United vs. AC Milan, Manchester, Old Trafford, 25/10/2023, 20:30
Tottenham Hotspur vs. Chelsea, London, Tottenham Hotspur Stadium, 26/10/2023, 19:00
Barcelona vs. Bayern Munich, Barcelona, Camp Nou, 27/10/2023, 21:00
Paris Saint-Germain vs. Liverpool, Paris, Parc des Princes, 28/10/2023, 19:45
Real Madrid vs. Napoli, Madrid, Santiago Bernabéu Stadium, 29/10/2023, 20:15
Inter Milan vs. Manchester City, Milan, San Siro, 30/10/2023, 18:00
Juventus vs. Arsenal, Turin, Allianz Stadium, 31/10/2023, 18:30
Borussia Dortmund vs. Chelsea, Dortmund, Signal Iduna Park, 01/11/2023, 19:15
Manchester United vs. Paris Saint-Germain, Manchester, Old Trafford, 02/11/2023, 20:00
Liverpool vs. Barcelona, Liverpool, Anfield, 03/11/2023, 20:30
Bayern Munich vs. Real Madrid, Munich, Allianz Arena, 04/11/2023, 18:45
Inter Milan vs. Tottenham Hotspur, Milan, San Siro, 05/11/2023, 19:30
Manchester City vs. Napoli, Manchester, Etihad Stadium, 06/11/2023, 20:15
Arsenal vs. Borussia Dortmund, London, Emirates Stadium, 07/11/2023, 19:45
Juventus vs. Manchester United, Turin, Allianz Stadium, 08/11/2023, 20:00
Paris Saint-Germain vs. Chelsea, Paris, Parc des Princes, 09/11/2023, 18:30
Liverpool vs. Napoli, Liverpool, Anfield, 10/11/2023, 19:15
Real Madrid vs. Borussia Dortmund, Madrid, Santiago Bernabéu Stadium, 11/11/2023, 19:30
Bayern Munich vs. Arsenal, Munich, Allianz Arena, 12/11/2023, 20:00
Tottenham Hotspur vs. Juventus, London, Tottenham Hotspur Stadium, 13/11/2023, 20:30
Inter Milan vs. Chelsea, Milan, San Siro, 14/11/2023, 18:45
Manchester City vs. Manchester United, Manchester, Etihad Stadium, 15/11/2023, 19:00
Barcelona vs. Paris Saint-Germain, Barcelona, Camp Nou, 16/11/2023, 20:15
Arsenal vs. Liverpool, London, Emirates Stadium, 17/11/2023, 20:45
Chelsea vs. Napoli, London, Stamford Bridge, 18/11/2023, 19:15
Tottenham Hotspur vs. Paris Saint-Germain, London, Tottenham Hotspur Stadium, 19/11/2023, 19:30
Manchester United vs. Barcelona, Manchester, Old Trafford, 20/11/2023, 20:00
Juventus vs. Bayern Munich, Turin, Allianz Stadium, 21/11/2023, 20:15
Liverpool vs. Real Madrid, Liverpool, Anfield, 22/11/2023, 19:45
Inter Milan vs. Borussia Dortmund, Milan, San Siro, 23/11/2023, 19:00
Paris Saint-Germain vs. Arsenal, Paris, Parc des Princes, 24/11/2023, 20:30
Barcelona vs. Chelsea, Barcelona, Camp Nou, 25/11/2023, 18:45
Manchester City vs. Juventus, Manchester, Etihad Stadium, 26/11/2023, 19:00
Bayern Munich vs. Liverpool, Munich, Allianz Arena, 27/11/2023, 20:15
Real Madrid vs. Paris Saint-Germain, Madrid, Santiago Bernabéu Stadium, 28/11/2023, 18:30
Arsenal vs. Manchester United, London, Emirates Stadium, 29/11/2023, 19:45
Napoli vs. Barcelona, Naples, Stadio Diego Armando Maradona, 30/11/2023, 20:00
Borussia Dortmund vs. Liverpool, Dortmund, Signal Iduna Park, 01/12/2023, 18:30
Tottenham Hotspur vs. Bayern Munich, London, Tottenham Hotspur Stadium, 02/12/2023, 19:15
Juventus vs. Real Madrid, Turin, Allianz Stadium, 03/12/2023, 19:30
Manchester United vs. Napoli, Manchester, Old Trafford, 04/12/2023, 20:00
Barcelona vs. Arsenal, Barcelona, Camp Nou, 05/12/2023, 20:15
Paris Saint-Germain vs. Liverpool, Paris, Parc des Princes, 06/12/2023, 19:45
Chelsea vs. Manchester City, London, Stamford Bridge, 07/12/2023, 19:30
Bayern Munich vs. Borussia Dortmund, Munich, Allianz Arena, 08/12/2023, 18:45
Real Madrid vs. Liverpool, Madrid, Santiago Bernabéu Stadium, 09/12/2023, 19:15
Tottenham Hotspur vs. Barcelona, London, Tottenham Hotspur Stadium, 10/12/2023, 19:30
Manchester United vs. Paris Saint-Germain, Manchester, Old Trafford, 11/12/2023, 20:00
Juventus vs. Arsenal, Turin, Allianz Stadium, 12/12/2023, 20:15
Napoli vs. Bayern Munich, Naples, Stadio Diego Armando Maradona, 13/12/2023, 19:45
Borussia Dortmund vs. Chelsea, Dortmund, Signal Iduna Park, 14/12/2023, 19:00
Liverpool vs. Juventus, Liverpool, Anfield, 15/12/2023, 20:30
Barcelona vs. Manchester United, Barcelona, Camp Nou, 16/12/2023, 18:45
Real Madrid vs. Bayern Munich, Madrid, Santiago Bernabéu Stadium, 17/12/2023, 19:00
