Bohemian Rhapsody, New York, Radio City Music Hall, 20/08/2023, 18:00
The Book of Mormon, Istanbul, Zorlu Center PSM, 29/10/2023, 18:45
Wicked, Buenos Aires, Teatro Ópera, 30/10/2023, 19:20
West Side Story, Moscow, Moscow Operetta Theatre, 31/10/2023, 20:00
La La Land Live in Concert, Vienna, Wiener Stadthalle, 01/11/2023, 17:20
The Music Man, Berlin, Admiralspalast, 02/11/2023, 18:10
Carmen, Los Angeles, LA Opera, 03/11/2023, 19:00
Aida, New York, The Met Cloisters, 04/11/2023, 21:15
The Sound of Music, Paris, Théâtre de la Ville, 05/11/2023, 20:40
Mary Poppins, Toronto, Princess of Wales Theatre, 06/11/2023, 18:00
The King and I, Sydney, Capitol Theatre, 07/11/2023, 19:45
The Wizard of Oz, Madrid, Teatro Coliseum, 08/11/2023, 20:15
Annie, London, Piccadilly Theatre, 09/11/2023, 18:30
Fiddler on the Roof, Tokyo, Tokyo Theatre Orb, 10/11/2023, 22:00
The Music Man, Vienna, Raimund Theater, 11/11/2023, 19:15
Cats, Berlin, Theater des Westens, 12/11/2023, 20:30
Mamma Mia!, Sydney, Capitol Theatre, 13/11/2023, 19:45
Chicago, Los Angeles, Pantages Theatre, 14/11/2023, 17:45
Hamilton, New York, Richard Rodgers Theatre, 15/11/2023, 21:00
The Lion King, Paris, Théâtre Mogador, 16/11/2023, 18:45
Les Misérables, Madrid, Teatro Lope de Vega, 17/11/2023, 19:30
